Gene ID,EntrezGene ID
ENSG00000121410,1
ENSG00000146039,10050
ENSG00000113163,10087
ENSG00000140835,10164
ENSG00000214160,10195
ENSG00000172113,10201
ENSG00000112337,10246
ENSG00000183778,10317
ENSG00000133027,10400
ENSG00000064225,10402
ENSG00000103502,10423
ENSG00000134538,10599
ENSG00000070731,10610
ENSG00000113504,10723
ENSG00000276482,10723
ENSG00000168710,10768
ENSG00000124564,10786
ENSG00000145217,10861
ENSG00000238134,10919
ENSG00000227333,10919
ENSG00000236759,10919
ENSG00000206376,10919
ENSG00000224143,10919
ENSG00000204371,10919
ENSG00000232045,10919
ENSG00000131748,10948
ENSG00000167114,10999
ENSG00000263163,11000
ENSG00000143554,11000
ENSG00000140284,11001
ENSG00000174684,11041
ENSG00000130958,11046
ENSG00000198610,1109
ENSG00000021488,11136
ENSG00000281165,11182
ENSG00000160326,11182
ENSG00000147471,11212
ENSG00000141504,112483
ENSG00000268104,11254
ENSG00000013392,112611
ENSG00000274418,112724
ENSG00000278284,112724
ENSG00000160439,112724
ENSG00000275474,112724
ENSG00000276826,112724
ENSG00000276341,112724
ENSG00000274504,112724
ENSG00000273944,112724
ENSG00000278149,112724
ENSG00000276684,112724
ENSG00000161013,11282
ENSG00000074416,11343
ENSG00000174502,115019
ENSG00000282739,115286
ENSG00000144741,115286
ENSG00000124003,116255
ENSG00000112394,117247
ENSG00000161896,117283
ENSG00000065621,119391
ENSG00000139287,121278
ENSG00000140057,122481
ENSG00000185100,122622
ENSG00000140090,123041
ENSG00000171302,124583
ENSG00000278550,124935
ENSG00000167703,124935
ENSG00000154025,125206
ENSG00000176022,126792
ENSG00000151418,127124
ENSG00000263014,127124
ENSG00000101464,128869
ENSG00000153086,130013
ENSG00000138400,130752
ENSG00000156110,132
ENSG00000163281,132789
ENSG00000112309,135152
ENSG00000147576,137872
ENSG00000101438,140679
ENSG00000170191,140838
ENSG00000173262,144195
ENSG00000116761,1491
ENSG00000007001,151531
ENSG00000197241,155184
ENSG00000138115,1558
ENSG00000148942,159963
ENSG00000166800,160287
ENSG00000136267,1607
ENSG00000102780,160851
ENSG00000173868,162466
ENSG00000080166,1638
ENSG00000180767,166012
ENSG00000151611,166785
ENSG00000125246,171425
ENSG00000114956,1716
ENSG00000116133,1718
ENSG00000123453,1757
ENSG00000162688,178
ENSG00000092964,1808
ENSG00000155850,1836
ENSG00000165029,19
ENSG00000129467,196883
ENSG00000166816,197257
ENSG00000117834,200010
ENSG00000108515,2027
ENSG00000004455,204
ENSG00000139684,2098
ENSG00000140374,2108
ENSG00000105379,2109
ENSG00000229937,221823
ENSG00000249853,222537
ENSG00000149925,226
ENSG00000131873,22856
ENSG00000116704,23169
ENSG00000197818,23315
ENSG00000186111,23396
ENSG00000117620,23443
ENSG00000110195,2348
ENSG00000110203,2352
ENSG00000100156,23539
ENSG00000151012,23657
ENSG00000132840,23743
ENSG00000147614,245972
ENSG00000143882,245973
ENSG00000179520,246213
ENSG00000033170,2530
ENSG00000119537,2531
ENSG00000184005,256435
ENSG00000240891,257068
ENSG00000281185,257202
ENSG00000198704,257202
ENSG00000155886,25769
ENSG00000054983,2581
ENSG00000117308,2582
ENSG00000213930,2592
ENSG00000079931,26002
ENSG00000164707,26266
ENSG00000198130,26275
ENSG00000262446,2629
ENSG00000177628,2629
ENSG00000185352,266722
ENSG00000100031,2678
ENSG00000178814,26873
ENSG00000196511,27010
ENSG00000196475,2712
ENSG00000185133,27124
ENSG00000173221,2745
ENSG00000237763,276
ENSG00000101187,28231
ENSG00000176463,28232
ENSG00000111700,28234
ENSG00000141485,284111
ENSG00000181045,284129
ENSG00000180011,284273
