Gene ID,EntrezGene ID
ENSG00000159921,10020
ENSG00000111962,10090
ENSG00000004864,10165
ENSG00000102743,10166
ENSG00000167186,10229
ENSG00000183778,10317
ENSG00000117448,10327
ENSG00000129596,1036
ENSG00000133027,10400
ENSG00000103502,10423
ENSG00000167863,10476
ENSG00000235758,10554
ENSG00000228892,10554
ENSG00000227642,10554
ENSG00000206324,10554
ENSG00000204310,10554
ENSG00000236873,10554
ENSG00000226467,10554
ENSG00000169692,10555
ENSG00000090054,10558
ENSG00000184470,10587
ENSG00000163344,10654
ENSG00000164742,107
ENSG00000168710,10768
ENSG00000065911,10797
ENSG00000078295,108
ENSG00000160282,10841
ENSG00000281775,10841
ENSG00000112541,10846
ENSG00000151376,10873
ENSG00000138031,109
ENSG00000198162,10905
ENSG00000165672,10935
ENSG00000127540,10975
ENSG00000135094,10993
ENSG00000070748,1103
ENSG00000106049,11112
ENSG00000165609,11164
ENSG00000136542,11227
ENSG00000161013,11282
ENSG00000186526,11283
ENSG00000137491,11309
ENSG00000071073,11320
ENSG00000121900,113452
ENSG00000151229,114134
ENSG00000144278,114805
ENSG00000131386,117248
ENSG00000105205,1178
ENSG00000187758,124
ENSG00000169169,126129
ENSG00000174886,126328
ENSG00000198099,127
ENSG00000197894,128
ENSG00000277926,129807
ENSG00000204099,129807
ENSG00000114771,13
ENSG00000196344,131
ENSG00000156110,132
ENSG00000131143,1327
ENSG00000156885,1339
ENSG00000126267,1340
ENSG00000164919,1345
ENSG00000131174,1349
ENSG00000127184,1350
ENSG00000176340,1351
ENSG00000127837,14
ENSG00000198569,142680
ENSG00000139988,145226
ENSG00000183048,1468
ENSG00000116761,1491
ENSG00000179091,1537
ENSG00000140465,1543
ENSG00000140505,1544
ENSG00000138061,1545
ENSG00000255974,1548
ENSG00000165841,1557
ENSG00000138115,1558
ENSG00000138109,1559
ENSG00000121039,157506
ENSG00000160868,1576
ENSG00000106258,1577
ENSG00000187048,1579
ENSG00000167910,1581
ENSG00000180432,1582
ENSG00000148795,1586
ENSG00000019186,1591
ENSG00000135929,1593
ENSG00000129562,1603
ENSG00000058866,1608
ENSG00000137992,1629
ENSG00000187134,1645
ENSG00000228716,1719
ENSG00000102967,1723
ENSG00000150768,1737
ENSG00000091140,1738
ENSG00000119689,1743
ENSG00000038002,175
ENSG00000162688,178
ENSG00000130816,1786
ENSG00000172269,1798
ENSG00000188641,1806
ENSG00000128951,1854
ENSG00000025708,1890
ENSG00000282853,1891
ENSG00000104823,1891
ENSG00000101444,191
ENSG00000198488,192134
ENSG00000113790,1962
ENSG00000175899,2
ENSG00000108515,2027
ENSG00000106992,203
ENSG00000004455,204
ENSG00000171503,2110
ENSG00000158008,2134
ENSG00000108602,218
ENSG00000151726,2180
ENSG00000123983,2181
ENSG00000068366,2182
ENSG00000137124,219
ENSG00000184254,220
ENSG00000165140,2203
ENSG00000079459,2222
ENSG00000136872,229
ENSG00000153574,22934
ENSG00000076685,22978
ENSG00000109107,230
ENSG00000085662,231
ENSG00000103150,23417
ENSG00000100116,23464
ENSG00000103485,23475
ENSG00000140612,23478
ENSG00000110195,2348
ENSG00000112992,23530
ENSG00000141506,23533
ENSG00000185344,23545
ENSG00000197563,23556
ENSG00000242110,23600
ENSG00000012779,240
ENSG00000275565,240
ENSG00000179477,242
ENSG00000161905,246
ENSG00000179593,247
ENSG00000163286,251
ENSG00000174951,2523
ENSG00000171124,2525
ENSG00000033170,2530
ENSG00000131482,2538
ENSG00000160211,2539
ENSG00000171298,2548
ENSG00000130313,25796
ENSG00000117308,2582
ENSG00000108479,2584
ENSG00000156958,2585
ENSG00000141012,2588
ENSG00000143641,2590
ENSG00000115339,2591
ENSG00000213930,2592
ENSG00000130005,2593
ENSG00000214013,2595
ENSG00000002726,26
ENSG00000123505,262
ENSG00000149541,26229
ENSG00000171766,2628
ENSG00000262446,2629
ENSG00000177628,2629
ENSG00000105679,26330
ENSG00000105607,2639
ENSG00000187210,2650
ENSG00000140905,2653
ENSG00000198380,2673
ENSG00000151498,27034
ENSG00000109956,27087
ENSG00000164405,27089
ENSG00000163106,27306
ENSG00000124767,2739
ENSG00000115419,2744
ENSG00000148672,2746
ENSG00000182890,2747
ENSG00000135821,2752
ENSG00000237763,276
ENSG00000137198,2766
ENSG00000174876,277
ENSG00000187733,278
ENSG00000243480,279
ENSG00000135677,2799
ENSG00000281879,28
ENSG00000175164,28
ENSG00000240038,280
ENSG00000120053,2805
ENSG00000180011,284273
ENSG00000167701,2875
ENSG00000176153,2877
ENSG00000211445,2878
ENSG00000167468,2879
ENSG00000151729,291
ENSG00000005022,292
ENSG00000169100,293
ENSG00000134202,2947
ENSG00000168765,2948
ENSG00000134201,2949
ENSG00000184076,29796
ENSG00000143774,2987
ENSG00000101638,29906
ENSG00000088035,29929
ENSG00000132837,29958
ENSG00000104812,2997
ENSG00000132518,3000
ENSG00000072506,3028
ENSG00000063854,3029
ENSG00000084754,3030
ENSG00000138029,3032
ENSG00000138796,3033
ENSG00000084110,3034
ENSG00000113924,3081
ENSG00000188784,30814
ENSG00000281702,3145
ENSG00000256269,3145
ENSG00000117305,3155
ENSG00000113161,3156
ENSG00000112972,3157
ENSG00000134240,3158
ENSG00000138356,316
ENSG00000103415,3163
ENSG00000277424,3163
ENSG00000150540,3176
ENSG00000203859,3284
ENSG00000115361,33
ENSG00000070614,3340
ENSG00000117054,34
ENSG00000138413,3417
ENSG00000166411,3419
ENSG00000122971,35
ENSG00000198931,353
ENSG00000196177,36
ENSG00000133731,3612
ENSG00000131203,3620
ENSG00000165458,3636
ENSG00000125877,3704
ENSG00000128928,3712
ENSG00000075239,38
ENSG00000167531,3906
ENSG00000213398,3931
ENSG00000115850,3938
ENSG00000134333,3939
ENSG00000166796,3948
ENSG00000213316,4056
ENSG00000101846,412
ENSG00000146701,4191
ENSG00000168282,4247
ENSG00000128268,4248
ENSG00000152127,4249
ENSG00000008394,4257
ENSG00000085871,4258
ENSG00000143198,4259
ENSG00000119711,4329
ENSG00000128309,4357
ENSG00000196433,438
ENSG00000070669,440
ENSG00000108381,443
ENSG00000198899,4508
ENSG00000228253,4509
ENSG00000198804,4512
ENSG00000100714,4522
ENSG00000198888,4535
ENSG00000198763,4536
ENSG00000198695,4541
ENSG00000110921,4598
ENSG00000131495,4695
ENSG00000281434,4705
ENSG00000130414,4705
ENSG00000004779,4706
ENSG00000183648,4707
ENSG00000090266,4708
ENSG00000119013,4709
ENSG00000138363,471
ENSG00000151366,4718
ENSG00000283447,4719
ENSG00000023228,4719
ENSG00000158864,4720
ENSG00000213619,4722
ENSG00000164258,4724
ENSG00000168653,4725
ENSG00000160194,4731
ENSG00000129244,482
ENSG00000239672,4830
ENSG00000103024,4832
ENSG00000007171,4843
ENSG00000164867,4846
ENSG00000169418,4881
ENSG00000159899,4882
ENSG00000070961,490
ENSG00000073969,4905
ENSG00000278174,4905
ENSG00000276262,4905
ENSG00000065154,4942
ENSG00000122126,4952
ENSG00000115758,4953
ENSG00000152234,498
ENSG00000100412,50
ENSG00000036473,5009
ENSG00000079462,5050
ENSG00000158006,5051
ENSG00000171759,5053
ENSG00000110955,506
ENSG00000182870,50614
ENSG00000105929,50617
ENSG00000147853,50808
ENSG00000173599,5091
ENSG00000114054,5096
ENSG00000161533,51
ENSG00000119723,51004
ENSG00000186010,51079
ENSG00000118017,51146
ENSG00000116882,51179
ENSG00000122643,51251
ENSG00000099624,513
ENSG00000161217,5130
ENSG00000176928,51301
ENSG00000115252,5136
ENSG00000154678,5137
ENSG00000100554,51382
ENSG00000124172,514
ENSG00000152270,5140
ENSG00000065989,5141
ENSG00000184588,5142
ENSG00000095464,5146
ENSG00000156973,5147
ENSG00000116459,515
ENSG00000123360,5153
ENSG00000133256,5158
ENSG00000159199,516
ENSG00000131828,5160
ENSG00000047249,51606
ENSG00000163114,5161
ENSG00000168291,5162
ENSG00000197142,51703
ENSG00000162368,51727
ENSG00000132423,51805
ENSG00000109586,51809
ENSG00000143727,52
ENSG00000123836,5208
ENSG00000170525,5209
ENSG00000169020,521
ENSG00000141959,5211
ENSG00000152556,5213
ENSG00000154723,522
ENSG00000142657,5226
ENSG00000114573,523
ENSG00000102144,5230
ENSG00000170950,5232
ENSG00000013375,5238
ENSG00000116039,525
ENSG00000075415,5250
ENSG00000147416,526
ENSG00000185883,527
ENSG00000165195,5277
ENSG00000155097,528
ENSG00000151665,5281
ENSG00000011405,5286
ENSG00000139144,5288
ENSG00000131100,529
ENSG00000171608,5293
ENSG00000105851,5294
ENSG00000241973,5297
ENSG00000134575,53
ENSG00000143627,5313
ENSG00000262785,5313
ENSG00000170890,5319
ENSG00000137841,5330
ENSG00000101333,5332
ENSG00000187091,5333
ENSG00000197943,5336
ENSG00000075651,5337
ENSG00000129219,5338
ENSG00000033627,535
ENSG00000083444,5351
ENSG00000100417,5372
ENSG00000140650,5373
ENSG00000241837,539
ENSG00000128274,53947
ENSG00000187021,5407
ENSG00000266200,5408
ENSG00000141744,5409
ENSG00000179085,54344
ENSG00000242515,54575
ENSG00000128059,5471
ENSG00000064601,5476
ENSG00000185973,55217
ENSG00000093134,55350
ENSG00000139163,55500
ENSG00000103056,55512
ENSG00000164574,55568
ENSG00000070526,55808
ENSG00000184752,55967
ENSG00000147119,56548
ENSG00000205309,56953
ENSG00000117643,57134
ENSG00000167130,57171
ENSG00000146733,5723
ENSG00000119927,57678
ENSG00000150787,5805
ENSG00000059573,5832
ENSG00000185813,5833
ENSG00000100994,5834
ENSG00000151552,5860
ENSG00000083123,594
ENSG00000102032,5973
ENSG00000112077,6005
ENSG00000125454,60386
ENSG00000109929,6309
ENSG00000116171,6342
ENSG00000073578,6389
ENSG00000117118,6390
ENSG00000143252,6391
ENSG00000178234,63917
ENSG00000131844,64087
ENSG00000281742,64087
ENSG00000275300,64087
ENSG00000106605,644
ENSG00000138653,64579
ENSG00000176974,6470
ENSG00000167280,64772
ENSG00000073849,6480
ENSG00000110080,6484
ENSG00000113492,64902
ENSG00000105143,6511
ENSG00000059804,6515
ENSG00000157103,6529
ENSG00000281861,6550
ENSG00000066230,6550
ENSG00000100075,6576
ENSG00000081760,65985
ENSG00000186204,66002
ENSG00000102172,6611
ENSG00000057252,6646
ENSG00000112096,6648
ENSG00000117143,6675
ENSG00000104549,6713
