Probe Set ID	Gene Title	Entrez Gene ID	Ensembl
1007_s_at	discoidin domain receptor tyrosine kinase 1	780	ENSG00000137332 /// ENSG00000204580 /// ENSG00000215522 /// ENSG00000230456 /// ENSG00000234078 /// OTTHUMG00000004835 /// OTTHUMG00000031236 /// OTTHUMG00000031536 /// OTTHUMG00000148940 /// OTTHUMG00000149219
1053_at	replication factor C subunit 2	5982	ENSG00000049541 /// OTTHUMG00000023239
200001_at	calpain, small subunit 1	826	ENSG00000126247 /// OTTHUMG00000160811
200014_s_at	heterogeneous nuclear ribonucleoprotein C (C1/C2)	3183	ENSG00000092199 /// OTTHUMG00000170757
200023_s_at	eukaryotic translation initiation factor 3, subunit F	8665	ENSG00000175390 /// OTTHUMG00000165675
200026_at	ribosomal protein L34	6164	ENSG00000109475 /// OTTHUMG00000131839
200031_s_at	ribosomal protein S11	6205	ENSG00000142534 /// OTTHUMG00000183156
200032_s_at	ribosomal protein L9 /// ribosomal protein L9 pseudogene 7	6126 /// 6133	ENSG00000163682 /// OTTHUMG00000021254 /// OTTHUMG00000099367 /// OTTHUMG00000158044 /// OTTHUMG00000191251
200034_s_at	ribosomal protein L6 /// ribosomal protein L6 pseudogene 27	6128 /// 645387	ENSG00000089009 /// OTTHUMG00000158161 /// OTTHUMG00000169685
200038_s_at	chromosome 18 open reading frame 32 /// ribosomal protein L17 /// RPL17-C18orf32 readthrough	6139 /// 497661 /// 100526842	ENSG00000177576 /// ENSG00000215472 /// ENSG00000265681 /// OTTHUMG00000179680 /// OTTHUMG00000179689
200041_s_at	ATP6V1G2-DDX39B readthrough (NMD candidate) /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	7919 /// 100532737	ENSG00000198563 /// ENSG00000215425 /// ENSG00000225073 /// ENSG00000225859 /// ENSG00000229496 /// ENSG00000230624 /// ENSG00000235439 /// ENSG00000237889 /// OTTHUMG00000031165 /// OTTHUMG00000031200 /// OTTHUMG00000031447 /// OTTHUMG00000148789 /// OTTHUMG00000149014 /// OTTHUMG00000149295 /// OTTHUMG00000149528 /// OTTHUMG00000149942 /// OTTHUMG00000166665
200057_s_at	non-POU domain containing, octamer-binding	4841	ENSG00000147140 /// OTTHUMG00000021798
200061_s_at	ribosomal protein S24	6229	ENSG00000138326 /// OTTHUMG00000018549
200062_s_at	ribosomal protein L30	6156	ENSG00000156482 /// OTTHUMG00000164796
200063_s_at	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	4869	ENSG00000069493 /// ENSG00000181163 /// OTTHUMG00000130465 /// OTTHUMG00000168369
200082_s_at	ribosomal protein S7	6201	ENSG00000171863 /// OTTHUMG00000090305 /// OTTHUMG00000132828
200086_s_at	cytochrome c oxidase subunit IV isoform 1	1327	ENSG00000131143 /// OTTHUMG00000137649
200089_s_at	ribosomal protein L4	6124	ENSG00000174444 /// OTTHUMG00000133193
200095_x_at	ribosomal protein S10 /// RPS10-NUDT3 readthrough /// ribosomal protein S10 pseudogene 19	6204 /// 100271350 /// 100529239	ENSG00000124614 /// ENSG00000270800 /// OTTHUMG00000014546 /// OTTHUMG00000185089
200099_s_at	ribosomal protein S3A /// ribosomal protein S3a pseudogene 26 /// ribosomal protein S3A pseudogene 5	6189 /// 439992 /// 644972	ENSG00000145425 /// OTTHUMG00000018642 /// OTTHUMG00000154287 /// OTTHUMG00000161445
200647_x_at	eukaryotic translation initiation factor 3, subunit C /// eukaryotic translation initiation factor 3, subunit C-like	8663 /// 728689	ENSG00000184110 /// ENSG00000205609 /// OTTHUMG00000097025 /// OTTHUMG00000099443
200648_s_at	glutamate-ammonia ligase	2752	ENSG00000135821 /// OTTHUMG00000037407
200651_at	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	10399	ENSG00000204628 /// OTTHUMG00000163380
200679_x_at	high mobility group box 1	3146	ENSG00000189403 /// OTTHUMG00000016670
200689_x_at	eukaryotic translation elongation factor 1 gamma	1937	ENSG00000254772 /// OTTHUMG00000167567
200694_s_at	DEAD (Asp-Glu-Ala-Asp) box helicase 24	57062	ENSG00000089737 /// ENSG00000273761 /// OTTHUMG00000171301 /// OTTHUMG00000190226
200697_at	hexokinase 1	3098	ENSG00000156515 /// OTTHUMG00000018380
200710_at	acyl-CoA dehydrogenase, very long chain	37	ENSG00000072778 /// OTTHUMG00000102157
200717_x_at	ribosomal protein L7	6129	ENSG00000147604 /// OTTHUMG00000134312
200725_x_at	ribosomal protein L10	6134	ENSG00000147403 /// OTTHUMG00000033189
200737_at	phosphoglycerate kinase 1	5230	ENSG00000102144 /// OTTHUMG00000021888
200750_s_at	RAN, member RAS oncogene family	5901	ENSG00000132341 /// OTTHUMG00000004822 /// OTTHUMG00000031142 /// OTTHUMG00000031423 /// OTTHUMG00000132975 /// OTTHUMG00000134328 /// OTTHUMG00000148927 /// OTTHUMG00000149207
200751_s_at	heterogeneous nuclear ribonucleoprotein C (C1/C2)	3183	ENSG00000092199 /// OTTHUMG00000170757
200752_s_at	calpain 1, (mu/I) large subunit	823	ENSG00000014216 /// OTTHUMG00000165614
200779_at	activating transcription factor 4	468	ENSG00000128272 /// OTTHUMG00000151099
200780_x_at	GNAS complex locus	2778	ENSG00000087460 /// OTTHUMG00000033069
200814_at	proteasome activator subunit 1	5720	ENSG00000092010 /// OTTHUMG00000028795
200815_s_at	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	5048	ENSG00000007168 /// OTTHUMG00000177574
200817_x_at	ribosomal protein S10	6204	ENSG00000124614 /// OTTHUMG00000014546
200819_s_at	ribosomal protein S15	6209	ENSG00000115268 /// OTTHUMG00000140099
200822_x_at	triosephosphate isomerase 1	7167	ENSG00000111669 /// OTTHUMG00000133767
200823_x_at	ribosomal protein L29	6159	ENSG00000162244 /// OTTHUMG00000155262
200826_at	small nuclear ribonucleoprotein D2 polypeptide	6633	ENSG00000125743 /// OTTHUMG00000182130
200830_at	proteasome 26S subunit, non-ATPase 2	5708	ENSG00000175166 /// OTTHUMG00000156796
200835_s_at	microtubule associated protein 4	4134	ENSG00000047849 /// OTTHUMG00000156828
200854_at	nuclear receptor corepressor 1	9611	ENSG00000141027 /// OTTHUMG00000059309
200855_at	nuclear receptor corepressor 1	9611	ENSG00000141027 /// OTTHUMG00000059309
200856_x_at	nuclear receptor corepressor 1	9611	ENSG00000141027 /// OTTHUMG00000059309
200857_s_at	nuclear receptor corepressor 1	9611	ENSG00000141027 /// OTTHUMG00000059309
200888_s_at	ribosomal protein L23	9349	ENSG00000125691 /// OTTHUMG00000133118
200904_at	major histocompatibility complex, class I, E	3133	ENSG00000204592 /// ENSG00000206493 /// ENSG00000225201 /// ENSG00000229252 /// ENSG00000230254 /// ENSG00000233904 /// ENSG00000236632 /// OTTHUMG00000004820 /// OTTHUMG00000031155 /// OTTHUMG00000031437 /// OTTHUMG00000132983 /// OTTHUMG00000148925 /// OTTHUMG00000149205 /// OTTHUMG00000149447
200905_x_at	major histocompatibility complex, class I, E	3133	ENSG00000204592 /// ENSG00000206493 /// ENSG00000225201 /// ENSG00000229252 /// ENSG00000230254 /// ENSG00000233904 /// ENSG00000236632 /// OTTHUMG00000004820 /// OTTHUMG00000031155 /// OTTHUMG00000031437 /// OTTHUMG00000132983 /// OTTHUMG00000148925 /// OTTHUMG00000149205 /// OTTHUMG00000149447
200911_s_at	transforming, acidic coiled-coil containing protein 1	6867	ENSG00000147526 /// OTTHUMG00000164018
200912_s_at	eukaryotic translation initiation factor 4A2	1974	ENSG00000156976 /// OTTHUMG00000156564
200936_at	ribosomal protein L8	6132	ENSG00000161016 /// OTTHUMG00000165249
200963_x_at	ribosomal protein L31	6160	ENSG00000071082 /// OTTHUMG00000130687
200964_at	ubiquitin-like modifier activating enzyme 1	7317	ENSG00000130985 /// OTTHUMG00000021436
200966_x_at	aldolase A, fructose-bisphosphate	226	ENSG00000149925 /// OTTHUMG00000132107
200981_x_at	GNAS complex locus	2778	ENSG00000087460 /// OTTHUMG00000033069
200983_x_at	CD59 molecule, complement regulatory protein	966	ENSG00000085063 /// OTTHUMG00000166270
200991_s_at	sorting nexin 17	9784	ENSG00000115234 /// OTTHUMG00000097781
201001_s_at	TMEM189-UBE2V1 readthrough /// ubiquitin conjugating enzyme E2 variant 1	7335 /// 387522	ENSG00000124208 /// ENSG00000244687 /// OTTHUMG00000033085 /// OTTHUMG00000152626
201002_s_at	TMEM189-UBE2V1 readthrough /// ubiquitin conjugating enzyme E2 variant 1	7335 /// 387522	ENSG00000124208 /// ENSG00000244687 /// OTTHUMG00000033085 /// OTTHUMG00000152626
201033_x_at	ribosomal protein, large, P0	6175	ENSG00000089157 /// OTTHUMG00000169317
